10:39:33 [INFO] Loading grid spec from data/param-grid-spec.json
10:39:33 [INFO] Grid spec loaded:
10:39:33 [INFO]   Candidates: 9
10:39:33 [INFO]   Cost mode entries: 18
10:39:33 [INFO]   Parameter combinations: 15625
10:39:33 [INFO]   Leverage levels: 1
10:39:33 [INFO]   Total runs: 281250
10:39:33 [INFO]   Parallelism: 8
10:39:35 [INFO] Grid: 281250 combinations
10:39:35 [INFO] Parallelism: 8 processes
10:39:35 [INFO] Output: data/param-search-results
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.45: 108 trades, 0.1s
10:39:40 [INFO] Progress: 46/281250 done (46 ok, 0 failed)
10:39:40 [INFO] Progress: 47/281250 done (47 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.48: 108 trades, 0.1s
10:39:40 [INFO] Progress: 48/281250 done (48 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.47: 108 trades, 0.1s
10:39:40 [INFO] Progress: 49/281250 done (49 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.49: 108 trades, 0.1s
10:39:40 [INFO] Progress: 50/281250 done (50 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.50: 124 trades, 0.1s
10:39:40 [INFO] Progress: 51/281250 done (51 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.51: 124 trades, 0.1s
10:39:40 [INFO] Progress: 52/281250 done (52 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.52: 124 trades, 0.1s
10:39:40 [INFO] Progress: 53/281250 done (53 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.54: 124 trades, 0.1s
10:39:40 [INFO] Progress: 54/281250 done (54 ok, 0 failed)
10:39:40 [INFO] OK blueprint-cluster-007__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.55: 111 trades, 0.1s
10:39:40 [INFO] Progress: 55/281250 done (55 ok, 0 failed)
