16:06:08 [INFO] Loading grid spec from data/param-grid-spec-cluster-009.json
16:06:08 [INFO] Grid spec loaded:
16:06:08 [INFO]   Candidates: 2
16:06:08 [INFO]   Cost mode entries: 4
16:06:08 [INFO]   Parameter combinations: 15625
16:06:08 [INFO]   Leverage levels: 1
16:06:08 [INFO]   Total runs: 62500
16:06:08 [INFO]   Parallelism: 8
16:06:08 [INFO] Grid: 62500 combinations
16:06:08 [INFO] Parallelism: 8 processes
16:06:08 [INFO] Output: data/param-search-v2
16:06:33 [INFO] Progress: 13800/62500 done (0 new ok, 13800 resumed, 0 failed)
16:06:33 [INFO] Progress: 13900/62500 done (0 new ok, 13900 resumed, 0 failed)
16:06:33 [INFO] Progress: 14000/62500 done (0 new ok, 14000 resumed, 0 failed)
16:06:34 [INFO] Progress: 14100/62500 done (0 new ok, 14100 resumed, 0 failed)
16:06:34 [INFO] Progress: 14200/62500 done (0 new ok, 14200 resumed, 0 failed)
16:06:34 [INFO] Progress: 14300/62500 done (0 new ok, 14300 resumed, 0 failed)
16:06:35 [INFO] Progress: 14400/62500 done (0 new ok, 14400 resumed, 0 failed)
16:06:35 [INFO] Progress: 14500/62500 done (0 new ok, 14500 resumed, 0 failed)
16:06:35 [INFO] Progress: 14600/62500 done (0 new ok, 14600 resumed, 0 failed)
16:06:36 [INFO] Progress: 14700/62500 done (0 new ok, 14700 resumed, 0 failed)
16:06:36 [INFO] Progress: 14800/62500 done (0 new ok, 14800 resumed, 0 failed)
16:06:36 [INFO] Progress: 14900/62500 done (0 new ok, 14900 resumed, 0 failed)
16:06:37 [INFO] Progress: 15000/62500 done (0 new ok, 15000 resumed, 0 failed)
16:06:37 [INFO] Progress: 15100/62500 done (0 new ok, 15100 resumed, 0 failed)
16:06:38 [INFO] Progress: 15200/62500 done (0 new ok, 15200 resumed, 0 failed)
16:06:38 [INFO] Progress: 15300/62500 done (0 new ok, 15300 resumed, 0 failed)
16:06:38 [INFO] Progress: 15400/62500 done (0 new ok, 15400 resumed, 0 failed)
16:06:39 [INFO] Progress: 15500/62500 done (0 new ok, 15500 resumed, 0 failed)
16:06:39 [INFO] Progress: 15600/62500 done (0 new ok, 15600 resumed, 0 failed)
16:06:39 [INFO] Progress: 15700/62500 done (0 new ok, 15700 resumed, 0 failed)
16:06:40 [INFO] Progress: 15800/62500 done (0 new ok, 15800 resumed, 0 failed)
16:06:40 [INFO] Progress: 15900/62500 done (0 new ok, 15900 resumed, 0 failed)
16:06:41 [INFO] Progress: 16000/62500 done (0 new ok, 16000 resumed, 0 failed)
16:06:41 [INFO] Progress: 16100/62500 done (0 new ok, 16100 resumed, 0 failed)
16:06:41 [INFO] Progress: 16200/62500 done (0 new ok, 16200 resumed, 0 failed)
16:06:42 [INFO] Progress: 16300/62500 done (0 new ok, 16300 resumed, 0 failed)
16:06:42 [INFO] Progress: 16400/62500 done (0 new ok, 16400 resumed, 0 failed)
16:06:43 [INFO] Progress: 16500/62500 done (0 new ok, 16500 resumed, 0 failed)
16:06:43 [INFO] Progress: 16600/62500 done (0 new ok, 16600 resumed, 0 failed)
16:06:43 [INFO] Progress: 16700/62500 done (0 new ok, 16700 resumed, 0 failed)
16:06:44 [INFO] Progress: 16800/62500 done (0 new ok, 16800 resumed, 0 failed)
16:06:44 [INFO] Progress: 16900/62500 done (0 new ok, 16900 resumed, 0 failed)
16:06:45 [INFO] Progress: 17000/62500 done (0 new ok, 17000 resumed, 0 failed)
16:06:45 [INFO] Progress: 17100/62500 done (0 new ok, 17100 resumed, 0 failed)
16:06:45 [INFO] Progress: 17200/62500 done (0 new ok, 17200 resumed, 0 failed)
16:06:46 [INFO] Progress: 17300/62500 done (0 new ok, 17300 resumed, 0 failed)
16:06:46 [INFO] Progress: 17400/62500 done (0 new ok, 17400 resumed, 0 failed)
16:06:47 [INFO] Progress: 17500/62500 done (0 new ok, 17500 resumed, 0 failed)
16:06:47 [INFO] Progress: 17600/62500 done (0 new ok, 17600 resumed, 0 failed)
16:06:47 [INFO] Progress: 17700/62500 done (0 new ok, 17700 resumed, 0 failed)
16:06:48 [INFO] Progress: 17800/62500 done (0 new ok, 17800 resumed, 0 failed)
16:06:48 [INFO] Progress: 17900/62500 done (0 new ok, 17900 resumed, 0 failed)
16:06:49 [INFO] Progress: 18000/62500 done (0 new ok, 18000 resumed, 0 failed)
16:06:49 [INFO] Progress: 18100/62500 done (0 new ok, 18100 resumed, 0 failed)
16:06:50 [INFO] Progress: 18200/62500 done (0 new ok, 18200 resumed, 0 failed)
16:06:50 [INFO] Progress: 18300/62500 done (0 new ok, 18300 resumed, 0 failed)
16:06:50 [INFO] Progress: 18400/62500 done (0 new ok, 18400 resumed, 0 failed)
16:06:51 [INFO] Progress: 18500/62500 done (0 new ok, 18500 resumed, 0 failed)
16:06:51 [INFO] Progress: 18600/62500 done (0 new ok, 18600 resumed, 0 failed)
16:06:52 [INFO] Progress: 18700/62500 done (0 new ok, 18700 resumed, 0 failed)
16:06:52 [INFO] Progress: 18800/62500 done (0 new ok, 18800 resumed, 0 failed)
16:06:53 [INFO] Progress: 18900/62500 done (0 new ok, 18900 resumed, 0 failed)
16:06:53 [INFO] Progress: 19000/62500 done (0 new ok, 19000 resumed, 0 failed)
16:06:54 [INFO] Progress: 19100/62500 done (0 new ok, 19100 resumed, 0 failed)
16:06:54 [INFO] Progress: 19200/62500 done (0 new ok, 19200 resumed, 0 failed)
16:06:55 [INFO] Progress: 19300/62500 done (0 new ok, 19300 resumed, 0 failed)
16:06:55 [INFO] Progress: 19400/62500 done (0 new ok, 19400 resumed, 0 failed)
16:06:56 [INFO] Progress: 19500/62500 done (0 new ok, 19500 resumed, 0 failed)
16:06:56 [INFO] Progress: 19600/62500 done (0 new ok, 19600 resumed, 0 failed)
16:06:57 [INFO] Progress: 19700/62500 done (0 new ok, 19700 resumed, 0 failed)
16:06:57 [INFO] Progress: 19800/62500 done (0 new ok, 19800 resumed, 0 failed)
16:06:58 [INFO] Progress: 19900/62500 done (0 new ok, 19900 resumed, 0 failed)
16:06:58 [INFO] Progress: 20000/62500 done (0 new ok, 20000 resumed, 0 failed)
16:06:59 [INFO] Progress: 20100/62500 done (0 new ok, 20100 resumed, 0 failed)
16:06:59 [INFO] Progress: 20200/62500 done (0 new ok, 20200 resumed, 0 failed)
16:07:00 [INFO] Progress: 20300/62500 done (0 new ok, 20300 resumed, 0 failed)
16:07:00 [INFO] Progress: 20400/62500 done (0 new ok, 20400 resumed, 0 failed)
16:07:01 [INFO] Progress: 20500/62500 done (0 new ok, 20500 resumed, 0 failed)
16:07:01 [INFO] Progress: 20600/62500 done (0 new ok, 20600 resumed, 0 failed)
