14:18:34 [INFO] Loading grid spec from data/param-grid-spec.json
14:18:34 [INFO] Grid spec loaded:
14:18:34 [INFO]   Candidates: 9
14:18:34 [INFO]   Cost mode entries: 18
14:18:34 [INFO]   Parameter combinations: 15625
14:18:34 [INFO]   Leverage levels: 1
14:18:34 [INFO]   Total runs: 281250
14:18:34 [INFO]   Parallelism: 8
14:18:35 [INFO] Grid: 281250 combinations
14:18:35 [INFO] Parallelism: 8 processes
14:18:35 [INFO] Output: data/param-search-v2
14:18:52 [INFO] Progress: 10200/281250 done (0 new ok, 10200 resumed, 0 failed)
14:18:52 [INFO] Progress: 10300/281250 done (0 new ok, 10300 resumed, 0 failed)
14:18:53 [INFO] Progress: 10400/281250 done (0 new ok, 10400 resumed, 0 failed)
14:18:53 [INFO] Progress: 10500/281250 done (0 new ok, 10500 resumed, 0 failed)
14:18:53 [INFO] Progress: 10600/281250 done (0 new ok, 10600 resumed, 0 failed)
14:18:53 [INFO] Progress: 10700/281250 done (0 new ok, 10700 resumed, 0 failed)
14:18:53 [INFO] Progress: 10800/281250 done (0 new ok, 10800 resumed, 0 failed)
14:18:54 [INFO] Progress: 10900/281250 done (0 new ok, 10900 resumed, 0 failed)
14:18:54 [INFO] Progress: 11000/281250 done (0 new ok, 11000 resumed, 0 failed)
14:18:54 [INFO] Progress: 11100/281250 done (0 new ok, 11100 resumed, 0 failed)
14:18:54 [INFO] Progress: 11200/281250 done (0 new ok, 11200 resumed, 0 failed)
14:18:55 [INFO] Progress: 11300/281250 done (0 new ok, 11300 resumed, 0 failed)
14:18:55 [INFO] Progress: 11400/281250 done (0 new ok, 11400 resumed, 0 failed)
14:18:55 [INFO] Progress: 11500/281250 done (0 new ok, 11500 resumed, 0 failed)
14:18:55 [INFO] Progress: 11600/281250 done (0 new ok, 11600 resumed, 0 failed)
14:18:55 [INFO] Progress: 11700/281250 done (0 new ok, 11700 resumed, 0 failed)
14:18:56 [INFO] Progress: 11800/281250 done (0 new ok, 11800 resumed, 0 failed)
14:18:56 [INFO] Progress: 11900/281250 done (0 new ok, 11900 resumed, 0 failed)
14:18:56 [INFO] Progress: 12000/281250 done (0 new ok, 12000 resumed, 0 failed)
14:18:56 [INFO] Progress: 12100/281250 done (0 new ok, 12100 resumed, 0 failed)
14:18:57 [INFO] Progress: 12200/281250 done (0 new ok, 12200 resumed, 0 failed)
14:18:57 [INFO] Progress: 12300/281250 done (0 new ok, 12300 resumed, 0 failed)
14:18:57 [INFO] Progress: 12400/281250 done (0 new ok, 12400 resumed, 0 failed)
14:18:58 [INFO] Progress: 12500/281250 done (0 new ok, 12500 resumed, 0 failed)
14:18:58 [INFO] Progress: 12600/281250 done (0 new ok, 12600 resumed, 0 failed)
14:18:58 [INFO] Progress: 12700/281250 done (0 new ok, 12700 resumed, 0 failed)
14:18:58 [INFO] Progress: 12800/281250 done (0 new ok, 12800 resumed, 0 failed)
14:18:59 [INFO] Progress: 12900/281250 done (0 new ok, 12900 resumed, 0 failed)
14:18:59 [INFO] Progress: 13000/281250 done (0 new ok, 13000 resumed, 0 failed)
14:18:59 [INFO] Progress: 13100/281250 done (0 new ok, 13100 resumed, 0 failed)
14:18:59 [INFO] Progress: 13200/281250 done (0 new ok, 13200 resumed, 0 failed)
14:18:59 [INFO] Progress: 13300/281250 done (0 new ok, 13300 resumed, 0 failed)
