13:12:20 [INFO] Loading grid spec from data/param-grid-spec.json
13:12:20 [INFO] Grid spec loaded:
13:12:20 [INFO]   Candidates: 9
13:12:20 [INFO]   Cost mode entries: 18
13:12:20 [INFO]   Parameter combinations: 15625
13:12:20 [INFO]   Leverage levels: 1
13:12:20 [INFO]   Total runs: 281250
13:12:20 [INFO]   Parallelism: 8
13:12:21 [INFO] Grid: 281250 combinations
13:12:21 [INFO] Parallelism: 8 processes
13:12:21 [INFO] Output: data/param-search-v2
13:12:28 [INFO] Progress: 3400/281250 done (0 new ok, 3400 resumed, 0 failed)
13:12:28 [INFO] Progress: 3500/281250 done (0 new ok, 3500 resumed, 0 failed)
13:12:28 [INFO] Progress: 3600/281250 done (0 new ok, 3600 resumed, 0 failed)
13:12:28 [INFO] Progress: 3700/281250 done (0 new ok, 3700 resumed, 0 failed)
13:12:28 [INFO] Progress: 3800/281250 done (0 new ok, 3800 resumed, 0 failed)
13:12:28 [INFO] Progress: 3900/281250 done (0 new ok, 3900 resumed, 0 failed)
13:12:28 [INFO] Progress: 4000/281250 done (0 new ok, 4000 resumed, 0 failed)
13:12:28 [INFO] Progress: 4100/281250 done (0 new ok, 4100 resumed, 0 failed)
13:12:28 [INFO] Progress: 4200/281250 done (0 new ok, 4200 resumed, 0 failed)
13:12:29 [INFO] Progress: 4300/281250 done (0 new ok, 4300 resumed, 0 failed)
13:12:29 [INFO] Progress: 4400/281250 done (0 new ok, 4400 resumed, 0 failed)
13:12:29 [INFO] Progress: 4500/281250 done (0 new ok, 4500 resumed, 0 failed)
13:12:29 [INFO] Progress: 4600/281250 done (0 new ok, 4600 resumed, 0 failed)
13:12:29 [INFO] Progress: 4700/281250 done (0 new ok, 4700 resumed, 0 failed)
13:12:29 [INFO] Progress: 4800/281250 done (0 new ok, 4800 resumed, 0 failed)
13:12:29 [INFO] Progress: 4900/281250 done (0 new ok, 4900 resumed, 0 failed)
13:12:29 [INFO] Progress: 5000/281250 done (0 new ok, 5000 resumed, 0 failed)
13:12:29 [INFO] Progress: 5100/281250 done (0 new ok, 5100 resumed, 0 failed)
13:12:29 [INFO] Progress: 5200/281250 done (0 new ok, 5200 resumed, 0 failed)
13:12:29 [INFO] Progress: 5300/281250 done (0 new ok, 5300 resumed, 0 failed)
13:12:29 [INFO] Progress: 5400/281250 done (0 new ok, 5400 resumed, 0 failed)
13:12:30 [INFO] Progress: 5500/281250 done (0 new ok, 5500 resumed, 0 failed)
13:12:30 [INFO] Progress: 5600/281250 done (0 new ok, 5600 resumed, 0 failed)
13:12:30 [INFO] Progress: 5700/281250 done (0 new ok, 5700 resumed, 0 failed)
13:12:30 [INFO] Progress: 5800/281250 done (0 new ok, 5800 resumed, 0 failed)
13:12:30 [INFO] Progress: 5900/281250 done (0 new ok, 5900 resumed, 0 failed)
13:12:30 [INFO] Progress: 6000/281250 done (0 new ok, 6000 resumed, 0 failed)
13:12:30 [INFO] Progress: 6100/281250 done (0 new ok, 6100 resumed, 0 failed)
13:12:30 [INFO] Progress: 6200/281250 done (0 new ok, 6200 resumed, 0 failed)
13:12:30 [INFO] Progress: 6300/281250 done (0 new ok, 6300 resumed, 0 failed)
13:12:30 [INFO] Progress: 6400/281250 done (0 new ok, 6400 resumed, 0 failed)
13:12:31 [INFO] Progress: 6500/281250 done (0 new ok, 6500 resumed, 0 failed)
13:12:31 [INFO] Progress: 6600/281250 done (0 new ok, 6600 resumed, 0 failed)
13:12:31 [INFO] Progress: 6700/281250 done (0 new ok, 6700 resumed, 0 failed)
13:12:31 [INFO] Progress: 6800/281250 done (0 new ok, 6800 resumed, 0 failed)
13:12:31 [INFO] Progress: 6900/281250 done (0 new ok, 6900 resumed, 0 failed)
13:12:31 [INFO] Progress: 7000/281250 done (0 new ok, 7000 resumed, 0 failed)
13:12:31 [INFO] Progress: 7100/281250 done (0 new ok, 7100 resumed, 0 failed)
13:12:31 [INFO] Progress: 7200/281250 done (0 new ok, 7200 resumed, 0 failed)
13:12:31 [INFO] Progress: 7300/281250 done (0 new ok, 7300 resumed, 0 failed)
13:12:31 [INFO] Progress: 7400/281250 done (0 new ok, 7400 resumed, 0 failed)
13:12:32 [INFO] Progress: 7500/281250 done (0 new ok, 7500 resumed, 0 failed)
13:12:32 [INFO] Progress: 7600/281250 done (0 new ok, 7600 resumed, 0 failed)
13:12:32 [INFO] Progress: 7700/281250 done (0 new ok, 7700 resumed, 0 failed)
13:12:32 [INFO] Progress: 7800/281250 done (0 new ok, 7800 resumed, 0 failed)
13:12:32 [INFO] Progress: 7900/281250 done (0 new ok, 7900 resumed, 0 failed)
13:12:32 [INFO] Progress: 8000/281250 done (0 new ok, 8000 resumed, 0 failed)
13:12:32 [INFO] Progress: 8100/281250 done (0 new ok, 8100 resumed, 0 failed)
13:12:32 [INFO] Progress: 8200/281250 done (0 new ok, 8200 resumed, 0 failed)
13:12:33 [INFO] Progress: 8300/281250 done (0 new ok, 8300 resumed, 0 failed)
13:12:33 [INFO] Progress: 8400/281250 done (0 new ok, 8400 resumed, 0 failed)
13:12:33 [INFO] Progress: 8500/281250 done (0 new ok, 8500 resumed, 0 failed)
13:12:33 [INFO] Progress: 8600/281250 done (0 new ok, 8600 resumed, 0 failed)
13:12:33 [INFO] Progress: 8700/281250 done (0 new ok, 8700 resumed, 0 failed)
13:12:33 [INFO] Progress: 8800/281250 done (0 new ok, 8800 resumed, 0 failed)
13:12:33 [INFO] Progress: 8900/281250 done (0 new ok, 8900 resumed, 0 failed)
13:12:34 [INFO] Progress: 9000/281250 done (0 new ok, 9000 resumed, 0 failed)
13:12:34 [INFO] Progress: 9100/281250 done (0 new ok, 9100 resumed, 0 failed)
13:12:34 [INFO] Progress: 9200/281250 done (0 new ok, 9200 resumed, 0 failed)
13:12:34 [INFO] Progress: 9300/281250 done (0 new ok, 9300 resumed, 0 failed)
13:12:34 [INFO] Progress: 9400/281250 done (0 new ok, 9400 resumed, 0 failed)
13:12:34 [INFO] Progress: 9500/281250 done (0 new ok, 9500 resumed, 0 failed)
13:12:34 [INFO] Progress: 9600/281250 done (0 new ok, 9600 resumed, 0 failed)
13:12:34 [INFO] Progress: 9700/281250 done (0 new ok, 9700 resumed, 0 failed)
