15:49:37 [INFO] Loading grid spec from data/param-grid-spec-cluster-003.json
15:49:37 [INFO] Grid spec loaded:
15:49:37 [INFO]   Candidates: 1
15:49:37 [INFO]   Cost mode entries: 2
15:49:37 [INFO]   Parameter combinations: 15625
15:49:37 [INFO]   Leverage levels: 1
15:49:37 [INFO]   Total runs: 31250
15:49:37 [INFO]   Parallelism: 8
15:49:37 [INFO] Grid: 31250 combinations
15:49:37 [INFO] Parallelism: 8 processes
15:49:37 [INFO] Output: data/param-search-v2
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.95: 40 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.93: 40 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.96: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.99: 40 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.100: 46 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.103: 46 trades, 0.1s
15:49:39 [INFO] Progress: 100/31250 done (100 new ok, 0 resumed, 0 failed)
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.97: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.102: 46 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.104: 46 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-0.98: 40 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.101: 46 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.105: 42 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.107: 42 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.108: 42 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.106: 42 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.110: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.109: 42 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.111: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.112: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.113: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.114: 41 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.115: 40 trades, 0.1s
15:49:39 [INFO] OK blueprint-cluster-003__BTC__flash-only__lookback_count-15_max_hold_secs-1800_momentum_threshold_pct-0.05_stop_loss_pct-1.116: 41 trades, 0.1s
